legacy_kind,legacy_name,legacy_value,migration_status,current_names,reason
COMMAND,MAV_CMD_DO_GRIPPER,211,EXACT,"[""MAV_CMD_DO_GRIPPER""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_NAV_WAYPOINT,16,EXACT,"[""MAV_CMD_NAV_WAYPOINT""]",same identifier exists in the current catalog
COMMAND,RC1,0,EXACT,"[""RC1""]",same identifier exists in the current catalog
COMMAND,RC2,0,EXACT,"[""RC2""]",same identifier exists in the current catalog
COMMAND,RC3,0,EXACT,"[""RC3""]",same identifier exists in the current catalog
COMMAND,RC4,0,EXACT,"[""RC4""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_NAV_RETURN_TO_LAUNCH,20,EXACT,"[""MAV_CMD_NAV_RETURN_TO_LAUNCH""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_NAV_TAKEOFF,22,EXACT,"[""MAV_CMD_NAV_TAKEOFF""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_NAV_LAND,21,EXACT,"[""MAV_CMD_NAV_LAND""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_NAV_LOITER_UNLIM,17,EXACT,"[""MAV_CMD_NAV_LOITER_UNLIM""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_NAV_LOITER_TURNS,18,EXACT,"[""MAV_CMD_NAV_LOITER_TURNS""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_NAV_LOITER_TIME,19,EXACT,"[""MAV_CMD_NAV_LOITER_TIME""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_NAV_SPLINE_WAYPOINT,82,EXACT,"[""MAV_CMD_NAV_SPLINE_WAYPOINT""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_NAV_GUIDED_ENABLE,92,EXACT,"[""MAV_CMD_NAV_GUIDED_ENABLE""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_JUMP,177,REMOVED,[],no current runtime/source identity was found
COMMAND,MAV_CMD_MISSION_START,300,EXACT,"[""MAV_CMD_MISSION_START""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_COMPONENT_ARM_DISARM,400,EXACT,"[""MAV_CMD_COMPONENT_ARM_DISARM""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_CONDITION_DELAY,112,EXACT,"[""MAV_CMD_CONDITION_DELAY""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_CONDITION_DISTANCE,114,EXACT,"[""MAV_CMD_CONDITION_DISTANCE""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_CONDITION_YAW,115,EXACT,"[""MAV_CMD_CONDITION_YAW""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_CHANGE_SPEED,178,EXACT,"[""MAV_CMD_DO_CHANGE_SPEED""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_SET_HOME,179,EXACT,"[""MAV_CMD_DO_SET_HOME""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_SET_SERVO,183,EXACT,"[""MAV_CMD_DO_SET_SERVO""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_SET_RELAY,181,EXACT,"[""MAV_CMD_DO_SET_RELAY""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_REPEAT_SERVO,184,EXACT,"[""MAV_CMD_DO_REPEAT_SERVO""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_REPEAT_RELAY,182,EXACT,"[""MAV_CMD_DO_REPEAT_RELAY""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_DIGICAM_CONFIGURE,202,EXACT,"[""MAV_CMD_DO_DIGICAM_CONFIGURE""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_DIGICAM_CONTROL,203,EXACT,"[""MAV_CMD_DO_DIGICAM_CONTROL""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_SET_CAM_TRIGG_DIST,206,EXACT,"[""MAV_CMD_DO_SET_CAM_TRIGG_DIST""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_SET_ROI,201,EXACT,"[""MAV_CMD_DO_SET_ROI""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_SET_MODE,176,EXACT,"[""MAV_CMD_DO_SET_MODE""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_MOUNT_CONTROL,205,EXACT,"[""MAV_CMD_DO_MOUNT_CONTROL""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_PARACHUTE,208,EXACT,"[""MAV_CMD_DO_PARACHUTE""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_GUIDED_LIMITS,222,EXACT,"[""MAV_CMD_DO_GUIDED_LIMITS""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_REPOSITION,192,EXACT,"[""MAV_CMD_DO_REPOSITION""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_GRIPPER,211,EXACT,"[""MAV_CMD_DO_GRIPPER""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_AUTOTUNE_ENABLE,212,REMOVED,[],no current runtime/source identity was found
COMMAND,MAV_CMD_DO_PAUSE_CONTINUE,193,EXACT,"[""MAV_CMD_DO_PAUSE_CONTINUE""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_NAV_ALTITUDE_WAIT,83,REMOVED,[],no current runtime/source identity was found
COMMAND,MAV_CMD_POWER_OFF_INITIATED,42000,REMOVED,[],no current runtime/source identity was found
COMMAND,MAV_CMD_SOLO_BTN_FLY_CLICK,42001,EXACT,"[""MAV_CMD_SOLO_BTN_FLY_CLICK""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_SOLO_BTN_FLY_HOLD,42002,EXACT,"[""MAV_CMD_SOLO_BTN_FLY_HOLD""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_SOLO_BTN_PAUSE_CLICK,42003,EXACT,"[""MAV_CMD_SOLO_BTN_PAUSE_CLICK""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_FIXED_MAG_CAL,42004,REMOVED,[],no current runtime/source identity was found
COMMAND,MAV_CMD_FIXED_MAG_CAL_FIELD,42005,REMOVED,[],no current runtime/source identity was found
COMMAND,MAV_CMD_FIXED_MAG_CAL_YAW,42006,EXACT,"[""MAV_CMD_FIXED_MAG_CAL_YAW""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_START_MAG_CAL,42424,EXACT,"[""MAV_CMD_DO_START_MAG_CAL""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_ACCEPT_MAG_CAL,42425,EXACT,"[""MAV_CMD_DO_ACCEPT_MAG_CAL""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_CANCEL_MAG_CAL,42426,EXACT,"[""MAV_CMD_DO_CANCEL_MAG_CAL""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DO_SEND_BANNER,42428,EXACT,"[""MAV_CMD_DO_SEND_BANNER""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_SET_FACTORY_TEST_MODE,42427,REMOVED,[],no current runtime/source identity was found
COMMAND,MAV_CMD_GIMBAL_RESET,42501,REMOVED,[],no current runtime/source identity was found
COMMAND,MAV_CMD_GIMBAL_AXIS_CALIBRATION_STATUS,42502,REMOVED,[],no current runtime/source identity was found
COMMAND,MAV_CMD_GIMBAL_REQUEST_AXIS_CALIBRATION,42503,REMOVED,[],no current runtime/source identity was found
COMMAND,MAV_CMD_GIMBAL_FULL_RESET,42505,REMOVED,[],no current runtime/source identity was found
COMMAND,MAV_CMD_DO_WINCH,42600,EXACT,"[""MAV_CMD_DO_WINCH""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_FLASH_BOOTLOADER,42650,EXACT,"[""MAV_CMD_FLASH_BOOTLOADER""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_BATTERY_RESET,42651,EXACT,"[""MAV_CMD_BATTERY_RESET""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_DEBUG_TRAP,42651,EXACT,"[""MAV_CMD_DEBUG_TRAP""]",same identifier exists in the current catalog
COMMAND,MAV_CMD_SCRIPTING,42701,EXACT,"[""MAV_CMD_SCRIPTING""]",same identifier exists in the current catalog
ENVIRONMENT,SIM_ACC2_BIAS_X,,EXACT,"[""SIM_ACC2_BIAS_X""]",same identifier exists in the current catalog
ENVIRONMENT,SIM_ACC2_BIAS_Y,,EXACT,"[""SIM_ACC2_BIAS_Y""]",same identifier exists in the current catalog
ENVIRONMENT,SIM_ACC2_BIAS_Z,,EXACT,"[""SIM_ACC2_BIAS_Z""]",same identifier exists in the current catalog
ENVIRONMENT,SIM_ACC2_RND,,EXACT,"[""SIM_ACC2_RND""]",same identifier exists in the current catalog
ENVIRONMENT,SIM_ACCEL_FAIL,,REMOVED,[],no current runtime/source identity was found
ENVIRONMENT,SIM_ACC_BIAS_X,,REMOVED,[],no current runtime/source identity was found
ENVIRONMENT,SIM_ACC_BIAS_Y,,REMOVED,[],no current runtime/source identity was found
ENVIRONMENT,SIM_ACC_BIAS_Z,,REMOVED,[],no current runtime/source identity was found
ENVIRONMENT,SIM_ACC_RND,,REMOVED,[],no current runtime/source identity was found
ENVIRONMENT,SIM_ADSB_ALT,,EXACT,"[""SIM_ADSB_ALT""]",same identifier exists in the current catalog
ENVIRONMENT,SIM_ADSB_COUNT,,EXACT,"[""SIM_ADSB_COUNT""]",same identifier exists in the current catalog
ENVIRONMENT,SIM_ADSB_RADIUS,,EXACT,"[""SIM_ADSB_RADIUS""]",same identifier exists in the current catalog
ENVIRONMENT,SIM_ADSB_TX,,EXACT,"[""SIM_ADSB_TX""]",same identifier exists in the current catalog
ENVIRONMENT,SIM_ARSPD2_FAIL,,EXACT,"[""SIM_ARSPD2_FAIL""]",same identifier exists in the current catalog
ENVIRONMENT,SIM_ARSPD2_FAILP,,EXACT,"[""SIM_ARSPD2_FAILP""]",same identifier exists in the current catalog
ENVIRONMENT,SIM_ARSPD2_PITOT,,EXACT,"[""SIM_ARSPD2_PITOT""]",same identifier exists in the current catalog
ENVIRONMENT,SIM_ARSPD_FAIL,,EXACT,"[""SIM_ARSPD_FAIL""]",same identifier exists in the current catalog
